core_num,top,down,left,right,attack,time,,,,
0,179,359,3628,8,0,0,,,,
1,132,84,3053,4620,0,0,,,,
2,84,5091,3045,4622,0,0,,,,
3,12036,188,200,2614,0,0,,,,
4,99,61,4152,8,0,0,,,,
5,155,4202,3597,6,0,0,,,,
6,204,7658,2312,2636,0,0,,,,
7,9159,89,8,4415,0,0,,,,
8,83,1229,6,4451,0,0,,,,
9,61,61,4181,6,0,0,,,,
0,13650,368,4903,0,0,1,,,,
1,9867,476,10815,727,0,1,,,,
2,476,9588,10854,751,0,1,,,,
3,2972,464,307,8977,0,1,,,,
4,575,212,7824,0,0,1,,,,
5,368,2235,4873,0,0,1,,,,
6,14365,14318,7975,942,0,1,,,,
7,2446,346,0,15867,0,1,,,,
8,346,346,0,15734,0,1,,,,
9,212,212,7840,0,0,1,,,,
0,9306,276,2032,8,0,2,,,,
1,1725,61,7525,2553,0,2,,,,
2,61,2207,7487,2492,0,2,,,,
3,1419,1270,1083,3535,0,2,,,,
4,53,39,3768,8,0,2,,,,
5,107,1147,2013,7,0,2,,,,
6,1375,2151,5237,1536,0,2,,,,
7,2499,96,1507,6461,0,2,,,,
8,89,2387,1397,6395,0,2,,,,
9,39,1801,3734,7,0,2,,,,
0,13022,323,4487,0,0,3,,,,
1,10789,443,10158,320,0,3,,,,
2,443,7273,10248,303,0,3,,,,
3,818,627,417,8351,0,3,,,,
4,519,188,7098,0,0,3,,,,
5,323,1753,4240,0,0,3,,,,
6,15709,10841,7353,638,0,3,,,,
7,1112,338,224,14811,0,3,,,,
8,338,652,175,14745,0,3,,,,
9,188,415,7139,0,0,3,,,,
0,8896,142,2132,3,0,4,,,,
1,704,33,7770,582,0,4,,,,
2,33,6307,7673,553,0,4,,,,
3,69,43,60,4531,0,4,,,,
4,21,11,4231,3,0,4,,,,
5,58,1830,1995,1,0,4,,,,
6,1058,9682,5315,399,0,4,,,,
7,1159,21,3,8477,0,4,,,,
8,21,1113,1,8541,0,4,,,,
9,11,11,4314,1,0,4,,,,
0,1633,150,4892,0,0,5,,,,
1,13169,187,2329,54,0,5,,,,
2,187,6485,2381,45,0,5,,,,
3,298,168,131,6085,0,5,,,,
4,171,63,5179,0,0,5,,,,
5,150,1908,4899,0,0,5,,,,
6,19983,9774,1738,250,0,5,,,,
7,453,128,0,10835,0,5,,,,
8,128,231,0,10968,0,5,,,,
9,63,63,5187,0,0,5,,,,
0,229,91,3495,0,0,6,,,,
1,7848,85,1336,308,0,6,,,,
2,85,5313,1374,290,0,6,,,,
3,315,444,411,4311,0,6,,,,
4,85,83,3401,0,0,6,,,,
5,90,1778,3405,0,0,6,,,,
6,11816,7968,1278,637,0,6,,,,
7,194,52,229,7095,0,6,,,,
8,52,318,183,7165,0,6,,,,
9,83,319,3393,0,0,6,,,,
0,382,201,2718,204,0,7,,,,
1,2491,278,1504,1062,0,7,,,,
2,278,6568,1516,1080,0,7,,,,
3,1878,3805,205,2726,0,7,,,,
4,330,115,2912,204,0,7,,,,
5,201,1941,2705,210,0,7,,,,
6,3327,9762,1089,729,0,7,,,,
7,2008,5127,204,5048,0,7,,,,
8,1672,3084,210,5080,0,7,,,,
9,115,115,2885,210,0,7,,,,
0,533,291,3554,368,0,8,,,,
1,2468,383,1660,1854,0,8,,,,
2,383,8341,1656,1846,0,8,,,,
3,3005,6509,254,3146,0,8,,,,
4,417,130,3673,368,0,8,,,,
5,291,2014,3538,371,0,8,,,,
6,3086,12433,1132,1107,0,8,,,,
7,3231,8934,368,5830,0,8,,,,
8,2733,5192,371,5869,0,8,,,,
9,130,130,3706,371,0,8,,,,
0,18341,103,4120,2,0,9,,,,
1,8687,93,14575,3010,0,9,,,,
2,93,3043,14568,2923,0,9,,,,
3,1517,1516,1324,7879,0,9,,,,
4,53,37,7804,2,0,9,,,,
5,81,1678,3983,5,0,9,,,,
6,11157,2618,10199,1871,0,9,,,,
7,2900,94,1794,14535,0,9,,,,
8,94,2937,1610,14522,0,9,,,,
9,37,2081,7808,5,0,9,,,,
0,11978,339,5812,0,0,10,,,,
1,13231,440,9532,53,0,10,,,,
2,440,10860,9554,48,0,10,,,,
3,701,432,245,9589,0,10,,,,
4,489,162,8264,0,0,10,,,,
5,339,2084,5743,0,0,10,,,,
6,19586,16268,6786,474,0,10,,,,
7,984,346,0,17247,0,10,,,,
8,346,452,0,17480,0,10,,,,
9,162,162,8371,0,0,10,,,,
0,3731,147,2818,16,0,11,,,,
1,11353,187,3889,83,0,11,,,,
2,187,187,3926,86,0,11,,,,
3,391,392,215,4542,0,11,,,,
4,208,69,3801,16,0,11,,,,
5,147,1862,2725,15,0,11,,,,
6,17010,252,2868,370,0,11,,,,
7,455,435,16,7880,0,11,,,,
8,147,254,15,7928,0,11,,,,
9,69,69,3770,15,0,11,,,,
0,13245,387,5810,3,0,12,,,,
1,8995,404,10861,2220,0,12,,,,
2,404,11881,11004,2150,0,12,,,,
3,1972,1741,1128,9003,0,12,,,,
4,485,166,8452,3,0,12,,,,
5,343,2492,5736,3,0,12,,,,
6,11702,16426,7719,1556,0,12,,,,
7,2568,373,1461,16310,0,12,,,,
8,373,2152,1282,16318,0,12,,,,
9,166,1786,8365,3,0,12,,,,
0,10883,510,6136,3,0,13,,,,
1,11656,399,8731,641,0,13,,,,
2,399,12270,8729,632,0,13,,,,
3,716,441,250,9370,0,13,,,,
4,499,187,8173,3,0,13,,,,
5,400,2163,6072,7,0,13,,,,
6,17180,18434,6332,777,0,13,,,,
7,2127,354,3,16700,0,13,,,,
8,354,1585,7,16736,0,13,,,,
9,187,187,8285,7,0,13,,,,
0,9499,131,4540,2,0,14,,,,
1,15972,135,8174,28,0,14,,,,
2,135,2093,8256,29,0,14,,,,
3,337,292,301,7864,0,14,,,,
4,135,82,6701,2,0,14,,,,
5,131,1854,4392,6,0,14,,,,
6,24092,3240,5866,522,0,14,,,,
7,274,220,2,14012,0,14,,,,
8,128,164,6,14154,0,14,,,,
9,82,82,6709,6,0,14,,,,
0,9415,349,5965,11,0,15,,,,
1,8686,322,8054,3108,0,15,,,,
2,322,10974,8124,3046,0,15,,,,
3,2078,1763,1925,7662,0,15,,,,
4,321,106,7332,11,0,15,,,,
5,263,2380,6036,5,0,15,,,,
6,11339,15073,5701,1960,0,15,,,,
7,2525,311,2672,13919,0,15,,,,
8,311,2137,2408,13948,0,15,,,,
9,106,3131,7269,5,0,15,,,,
0,7468,258,2684,7,0,16,,,,
1,362,145,6630,640,0,16,,,,
2,145,9077,6647,624,0,16,,,,
3,279,188,105,4703,0,16,,,,
4,209,75,4435,7,0,16,,,,
5,148,1878,2590,4,0,16,,,,
6,287,13750,4671,531,0,16,,,,
7,1576,147,7,8781,0,16,,,,
8,147,1373,4,8785,0,16,,,,
9,75,75,4442,4,0,16,,,,
0,16938,76,2758,0,0,17,,,,
1,8262,91,13619,0,0,17,,,,
2,91,2463,13593,0,0,17,,,,
3,183,129,115,7695,0,17,,,,
4,79,40,6617,0,0,17,,,,
5,76,1788,2558,0,0,17,,,,
6,12576,3754,9522,234,0,17,,,,
7,156,76,0,13997,0,17,,,,
8,76,76,0,13964,0,17,,,,
9,40,40,6598,0,0,17,,,,
0,12087,508,6574,8,0,18,,,,
1,12917,377,9133,2788,0,18,,,,
2,377,9557,9214,2728,0,18,,,,
3,2028,1815,1228,9007,0,18,,,,
4,396,144,8453,8,0,18,,,,
5,347,1306,6420,9,0,18,,,,
6,17742,12866,6644,1971,0,18,,,,
7,3529,361,1433,16029,0,18,,,,
8,361,3171,1293,15929,0,18,,,,
9,144,1772,8486,9,0,18,,,,
0,10839,336,3110,1,0,19,,,,
1,1230,228,8653,586,0,19,,,,
2,228,10488,8659,576,0,19,,,,
3,397,241,157,6020,0,19,,,,
4,270,85,5469,1,0,19,,,,
